field	cf1a.spe
 335.507	 17295
 335.509	 17280
 335.510	 17310
 335.511	 17335
 335.512	 17335
 335.513	 17335
 335.514	 17320
 335.516	 17310
 335.517	 17350
 335.518	 17350
 335.519	 17350
 335.520	 17350
 335.521	 17375
 335.523	 17415
 335.524	 17400
 335.525	 17390
 335.526	 17390
 335.527	 17415
 335.529	 17470
 335.530	 17470
 335.531	 17470
 335.532	 17455
 335.533	 17455
 335.534	 17495
 335.536	 17495
 335.537	 17480
 335.538	 17480
 335.539	 17495
 335.540	 17495
 335.541	 17495
 335.543	 17510
 335.544	 17520
 335.545	 17535
 335.546	 17520
 335.547	 17520
 335.548	 17535
 335.550	 17520
 335.551	 17520
 335.552	 17575
 335.553	 17575
 335.554	 17550
 335.555	 17550
 335.557	 17550
 335.558	 17590
 335.559	 17590
 335.560	 17615
 335.561	 17630
 335.562	 17640
 335.564	 17640
 335.565	 17670
 335.566	 17680
 335.567	 17680
 335.568	 17695
 335.570	 17695
 335.571	 17720
 335.572	 17720
 335.573	 17710
 335.574	 17695
 335.575	 17720
 335.577	 17760
 335.578	 17800
 335.579	 17760
 335.580	 17790
 335.581	 17800
 335.582	 17815
 335.584	 17830
 335.585	 17840
 335.586	 17840
 335.587	 17830
 335.588	 17840
 335.589	 17855
 335.591	 17855
 335.592	 17880
 335.593	 17895
 335.594	 17920
 335.595	 17895
 335.596	 17895
 335.598	 17910
 335.599	 17950
 335.600	 17960
 335.601	 17975
 335.602	 17975
 335.604	 17975
 335.605	 17975
 335.606	 18000
 335.607	 18015
 335.608	 18030
 335.609	 18040
 335.611	 18040
 335.612	 18030
 335.613	 18030
 335.614	 18040
 335.615	 18070
 335.616	 18095
 335.618	 18110
 335.619	 18150
 335.620	 18150
 335.621	 18135
 335.622	 18120
 335.623	 18135
 335.625	 18150
 335.626	 18150
 335.627	 18160
 335.628	 18190
 335.629	 18200
 335.630	 18215
 335.632	 18240
 335.633	 18240
 335.634	 18255
 335.635	 18280
 335.636	 18280
 335.638	 18280
 335.639	 18280
 335.640	 18280
 335.641	 18280
 335.642	 18310
 335.643	 18295
 335.645	 18335
 335.646	 18320
 335.647	 18320
 335.648	 18360
 335.649	 18375
 335.650	 18390
 335.652	 18415
 335.653	 18415
 335.654	 18455
 335.655	 18430
 335.656	 18440
 335.657	 18455
 335.659	 18480
 335.660	 18480
 335.661	 18510
 335.662	 18520
 335.663	 18520
 335.664	 18550
 335.666	 18535
 335.667	 18520
 335.668	 18535
 335.669	 18535
 335.670	 18560
 335.672	 18560
 335.673	 18560
 335.674	 18630
 335.675	 18640
 335.676	 18630
 335.677	 18630
 335.679	 18670
 335.680	 18670
 335.681	 18670
 335.682	 18695
 335.683	 18720
 335.684	 18720
 335.686	 18735
 335.687	 18735
 335.688	 18720
 335.689	 18750
 335.690	 18775
 335.691	 18790
 335.693	 18800
 335.694	 18800
 335.695	 18830
 335.696	 18815
 335.697	 18830
 335.698	 18815
 335.700	 18815
 335.701	 18815
 335.702	 18840
 335.703	 18870
 335.704	 18880
 335.705	 18895
 335.707	 18895
 335.708	 18910
 335.709	 18920
 335.710	 18950
 335.711	 18990
 335.713	 19000
 335.714	 18950
 335.715	 18960
 335.716	 18990
 335.717	 18975
 335.718	 19000
 335.720	 19030
 335.721	 19040
 335.722	 19040
 335.723	 19055
 335.724	 19040
 335.725	 19070
 335.727	 19080
 335.728	 19080
 335.729	 19110
 335.730	 19120
 335.731	 19110
 335.732	 19095
 335.734	 19150
 335.735	 19150
 335.736	 19190
 335.737	 19160
 335.738	 19190
 335.739	 19190
 335.741	 19190
 335.742	 19200
 335.743	 19200
 335.744	 19190
 335.745	 19200
